Time [ps],MSD Values,Log Time,Log MSD 
0.0,0.0,-inf,-inf
0.0010000000474974513,0.00058462203014642,6.907755278982137,-7.444545269012451
0.0020000000367872417,0.0011160114081576467,7.600902459542082,-6.797994136810303
0.003000000026077032,0.0016466439701616764,8.006367567650246,-6.409016132354736
0.0040000000153668225,0.002089737681671977,8.294049640102028,-6.170716762542725
0.005000000004656613,0.0025574560277163982,8.517193191416238,-5.968742370605469
0.006000000052154064,0.003096275730058551,8.699514748210191,-5.777555465698242
0.007000000041443855,0.0035055221524089575,8.85366542803745,-5.653415679931641
0.008000000030733645,0.00399925047531724,8.987196820661973,-5.521648406982422
0.009000000020023435,0.004360880237072706,9.104979856318357,-5.435081481933594
0.010000000009313226,0.0046955072320997715,9.210340371976184,-5.361149311065674
0.011000000056810677,0.005239948630332947,9.305650551780507,-5.251443386077881
0.012000000046100467,0.005681207869201899,9.392661928770137,-5.170591354370117
0.013000000035390258,0.00602380558848381,9.472704636443673,-5.112036228179932
0.014000000024680048,0.006427442654967308,9.546812608597396,-5.047178745269775
0.015000000013969839,0.006863057147711515,9.615805480084347,-4.981602191925049
0.01600000000325963,0.007381342351436615,9.680344001221918,-4.908799648284912
0.01700000005075708,0.007647066842764616,9.740968623038354,-4.8734331130981445
0.01800000004004687,0.00803880114108324,9.798127036878302,-4.823475360870361
0.01900000002933666,0.008436114527285099,9.852194258148577,-4.775233268737793
0.02000000001862645,0.008785012178122997,9.903487552536127,-4.734708309173584
0.021000000007916242,0.008970385417342186,9.95227771670556,-4.713826656341553
0.022000000055413693,0.009365277364850044,9.998797732340453,-4.670746326446533
0.023000000044703484,0.009675346314907074,10.043249494911286,-4.638174057006836
0.024000000033993274,0.010034186765551567,10.085809109330082,-4.601757526397705
0.025000000023283064,0.010524679906666279,10.126631103850338,-4.554032325744629
0.026000000012572855,0.010940580628812313,10.165851817003619,-4.5152764320373535
0.027000000001862645,0.011285013519227505,10.203592144986466,-4.484279632568359
0.028000000049360096,0.011616209521889687,10.239959789157341,-4.455353736877441
0.029000000038649887,0.011801177635788918,10.275051108968611,-4.439556121826172
0.030000000027939677,0.012211388908326626,10.308952660644293,-4.405386447906494
0.031000000017229468,0.012564313597977161,10.341742483467284,-4.376894950866699
0.03200000000651926,0.012933225370943546,10.373491181781864,-4.347955703735352
0.03300000005401671,0.013369282707571983,10.404262840448617,-4.31479549407959
0.0340000000433065,0.013777531683444977,10.4341158035983,-4.2847161293029785
0.03500000003259629,0.014115051366388798,10.46310334047155,-4.260513782501221
0.03600000002188608,0.014576845802366734,10.491274217438248,-4.228321075439453
0.03700000001117587,0.014873395673930645,10.51867319162636,-4.208181381225586
0.03800000000046566,0.015357729978859425,10.545341438708522,-4.176136493682861
0.03900000004796311,0.01577381044626236,10.571316925111784,-4.149404525756836
0.0400000000372529,0.01602615788578987,10.596634733096073,-4.133533000946045
0.04100000002654269,0.016350803896784782,10.621327345686446,-4.113478183746338
0.042000000015832484,0.01674642227590084,10.645424897265505,-4.08957052230835
