,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
131,Frame11_Cluster11,138,138000,0,103.5
132,Frame12_Cluster0,586,586000,0,439.5
133,Frame12_Cluster1,433,433000,0,324.75
134,Frame12_Cluster2,414,414000,0,310.5
135,Frame12_Cluster3,389,389000,0,291.75
136,Frame12_Cluster4,352,352000,0,264.0
137,Frame12_Cluster5,313,313000,0,234.75
138,Frame12_Cluster6,292,292000,0,219.0
139,Frame12_Cluster7,244,244000,0,183.0
140,Frame12_Cluster8,241,241000,0,180.75
141,Frame12_Cluster9,207,207000,0,155.25
142,Frame12_Cluster10,206,206000,0,154.5
143,Frame12_Cluster11,138,138000,0,103.5
144,Frame13_Cluster0,586,586000,0,439.5
145,Frame13_Cluster1,433,433000,0,324.75
146,Frame13_Cluster2,414,414000,0,310.5
147,Frame13_Cluster3,389,389000,0,291.75
148,Frame13_Cluster4,352,352000,0,264.0
149,Frame13_Cluster5,313,313000,0,234.75
150,Frame13_Cluster6,292,292000,0,219.0
151,Frame13_Cluster7,244,244000,0,183.0
152,Frame13_Cluster8,241,241000,0,180.75
153,Frame13_Cluster9,207,207000,0,155.25
154,Frame13_Cluster10,206,206000,0,154.5
155,Frame13_Cluster11,138,138000,0,103.5
156,Frame14_Cluster0,586,586000,0,439.5
157,Frame14_Cluster1,433,433000,0,324.75
158,Frame14_Cluster2,414,414000,0,310.5
159,Frame14_Cluster3,389,389000,0,291.75
160,Frame14_Cluster4,351,351000,0,263.25
161,Frame14_Cluster5,313,313000,0,234.75
162,Frame14_Cluster6,292,292000,0,219.0
163,Frame14_Cluster7,244,244000,0,183.0
164,Frame14_Cluster8,241,241000,0,180.75
165,Frame14_Cluster9,207,207000,0,155.25
166,Frame14_Cluster10,206,206000,0,154.5
167,Frame14_Cluster11,138,138000,0,103.5
168,Frame15_Cluster0,586,586000,0,439.5
169,Frame15_Cluster1,433,433000,0,324.75
170,Frame15_Cluster2,414,414000,0,310.5
