Name,Charge,Mass,Copies, Radius
SmallP,0,1000,1333,0.75
SmallO,0,1000,1333,0.75
SmallN,0,1000,1333,0.75
MedP,0,72000,92,4
MedO,0,72000,92,4
MedN,0,72000,92,4
LargeP,0,1700000,4,10
LargeO,0,1700000,4,10
LargeN,0,1700000,4,10
