Name,Charge,Mass,Copies, Radius
MedO,0,37650,146,3
SmallN,-3,358,2924,1
MedN,-41,89601,70,4
MedP,17,89263.4647887324,61,4.2511285660551
LargeN,-2027,1206439.16666667,5,10.3659504869165
SmallO,0,1136,949,1
LargeP,12,494305.5,2,7.89924909696618
SmallP,2.25,2147.1,121,0.906658738205708
