Time [ps],MSD Values,Log Time,Log MSD 
0.0,0.0,-inf,-inf
0.0009999999310821295,8.339657506439835e-05,6.907755278982137,-9.391902923583984
0.001999999978579581,0.00014990390627644956,7.600902459542082,-8.805516242980957
0.003000000026077032,0.0002189351071137935,8.006367567650246,-8.426734924316406
0.003999999957159162,0.00029841315699741244,8.294049640102028,-8.117032051086426
0.005000000004656613,0.000371156056644395,8.517193191416238,-7.898888111114502
0.005999999935738742,0.0004315466503612697,8.699514748210191,-7.748135089874268
0.006999999983236194,0.0005198252038098872,8.85366542803745,-7.562017917633057
0.008000000030733645,0.000609960057772696,8.987196820661973,-7.4021172523498535
0.008999999961815774,0.0007538084173575044,9.104979856318357,-7.190372467041016
0.010000000009313226,0.0008037493680603802,9.210340371976184,-7.126223087310791
0.010999999940395355,0.0008722027996554971,9.305650551780507,-7.044488430023193
0.011999999987892807,0.0009712055907584727,9.392661928770137,-6.936972618103027
0.013000000035390258,0.001038557616993785,9.472704636443673,-6.869922637939453
0.013999999966472387,0.001142284949310124,9.546812608597396,-6.77472448348999
0.015000000013969839,0.0011828605784103274,9.615805480084347,-6.739819526672363
0.015999999945051968,0.0013503279769793153,9.680344001221918,-6.607407569885254
0.01699999999254942,0.0013139232760295272,9.740968623038354,-6.634737968444824
0.01800000004004687,0.0013658498646691442,9.798127036878302,-6.595978260040283
0.018999999971129,0.0014560180716216564,9.852194258148577,-6.532050132751465
0.02000000001862645,0.0015247653936967254,9.903487552536127,-6.485914707183838
0.02099999994970858,0.0016436476726084948,9.95227771670556,-6.410837173461914
0.021999999997206032,0.0017571295611560345,9.998797732340453,-6.34407377243042
0.022999999928288162,0.0018308922881260514,10.043249494911286,-6.302951812744141
0.023999999975785613,0.0019015640718862414,10.085809109330082,-6.265078544616699
0.025000000023283064,0.002001170301809907,10.126631103850338,-6.214023113250732
0.025999999954365194,0.0021172871347516775,10.165851817003619,-6.157619476318359
0.027000000001862645,0.0021041256841272116,10.203592144986466,-6.163855075836182
0.027999999932944775,0.002113460097461939,10.239959789157341,-6.159428596496582
0.028999999980442226,0.0022447356022894382,10.275051108968611,-6.099167346954346
0.030000000027939677,0.002292065182700753,10.308952660644293,-6.078301906585693
0.030999999959021807,0.002275771927088499,10.341742483467284,-6.08543586730957
0.03200000000651926,0.002358429366722703,10.373491181781864,-6.049759387969971
0.03299999993760139,0.0023226283956319094,10.404262840448617,-6.065055847167969
0.03399999998509884,0.0024409391917288303,10.4341158035983,-6.015372276306152
0.03500000003259629,0.002480611903592944,10.46310334047155,-5.9992499351501465
0.03599999996367842,0.002483200980350375,10.491274217438248,-5.998206615447998
0.03700000001117587,0.002501561539247632,10.51867319162636,-5.990839958190918
0.037999999942258,0.0025575042236596346,10.545341438708522,-5.968723297119141
0.03899999998975545,0.002562041627243161,10.571316925111784,-5.9669508934021
0.0400000000372529,0.002623131964355707,10.596634733096073,-5.943386077880859
0.04099999996833503,0.00267158355563879,10.621327345686446,-5.925084114074707
0.042000000015832484,0.002926277695223689,10.645424897265505,-5.834023952484131
0.04299999994691461,0.003031528787687421,10.668955394675699,-5.7986884117126465
0.043999999994412065,0.003126756753772497,10.691944912900398,-5.767758846282959
0.045000000041909516,0.0032672027591615915,10.714417768752456,-5.72382116317749
0.045999999972991645,0.003346307436004281,10.736396675471232,-5.699897766113281
0.0470000000204891,0.0034305343870073557,10.757902880692196,-5.675039291381836
0.047999999951571226,0.003532112343236804,10.778956289890028,-5.645859241485596
0.04899999999906868,0.0035516198258847,10.799575577092764,-5.640351295471191
0.04999999993015081,0.003589353524148464,10.819778284410283,-5.6297831535339355
0.05099999997764826,0.0036267274990677834,10.839580911706463,-5.619424343109131
0.05200000002514571,0.0036454573273658752,10.858998997563564,-5.614273548126221
0.05299999995622784,0.003748164512217045,10.87804719253426,-5.586489200592041
0.05400000000372529,0.0038091656751930714,10.896739325546411,-5.570344924926758
0.05499999993480742,0.003831754205748439,10.915088464214607,-5.564432621002197
0.05599999998230487,0.003842666745185852,10.933106969717286,-5.561588764190674
0.05700000002980232,0.0039014313369989395,10.950806546816688,-5.546411991119385
0.05799999996088445,0.0040498883463442326,10.968198289528557,-5.509066104888916
0.0590000000083819,0.004133999813348055,10.985292722887856,-5.488509654998779
0.05999999993946403,0.004129406064748764,11.002099841204238,-5.489621639251709
0.060999999986961484,0.004051833879202604,11.018629143155449,-5.5085859298706055
0.062000000034458935,0.003959911875426769,11.03488966402723,-5.531533718109131
0.06299999996554106,0.00406182836741209,11.05089000537367,-5.50612211227417
0.06400000001303852,0.0040295906364917755,11.06663836234181,-5.514090538024902
0.06499999994412065,0.0040960414335131645,11.082142548877775,-5.497734069824219
0.0659999999916181,0.004346904344856739,11.097410021008562,-5.438291549682617
0.06700000003911555,0.004412245005369186,11.112447898373103,-5.4233717918396
0.06799999997019768,0.004484379198402166,11.127262984158243,-5.4071550369262695
0.06900000001769513,0.004443823825567961,11.141861783579396,-5.416240215301514
0.06999999994877726,0.0046095699071884155,11.156250521031495,-5.379620552062988
0.07099999999627471,0.004754477646201849,11.170435156023453,-5.348668575286865
0.07200000004377216,0.0048345704562962055,11.184421397998193,-5.331963062286377
0.07299999997485429,0.00475027272477746,11.198214720130528,-5.349553108215332
0.07400000002235174,0.0047785392962396145,11.211820372186306,-5.343620300292969
0.07499999995343387,0.004828964825719595,11.225243392518447,-5.333123207092285
0.07600000000093132,0.004933005198836327,11.238488619268468,-5.311806678771973
0.07699999993201345,0.005046732258051634,11.251560700835821,-5.2890143394470215
